machine_id,cycle,timestamp_min,vibration_rms,vibration_peak,temperature_spindle_c,temperature_coolant_c,current_draw_a,load_pct,rul_cycles,source
CNC-01,1,0.0,2.498598085856165,6.584951848362208,50.03825502523882,27.92563186849784,18.57830563642077,53.426544001975394,280,cmapss_proxy_synthetic
CNC-01,2,6.0,2.4066674106564916,6.947141253692101,51.122654498086966,28.52500275698017,18.58188327631587,57.774259624082994,279,cmapss_proxy_synthetic
CNC-01,3,12.0,2.5398054239014978,6.556062777171713,48.734099992966044,27.340310838195204,18.857741646559266,54.396039535042334,278,cmapss_proxy_synthetic
CNC-01,4,18.0,2.5570250868368096,6.5353180144109135,47.601459390256544,28.873286211089646,19.765421485159905,56.50462864936055,277,cmapss_proxy_synthetic
CNC-01,5,24.0,2.351637868231746,6.469644792315705,49.03963489306267,29.208747579692137,18.770174346732183,57.6222413502449,276,cmapss_proxy_synthetic
CNC-01,6,30.0,2.400417532636582,6.435733064717359,49.64672320808743,28.703910985145782,18.91273632841926,56.6767904996155,275,cmapss_proxy_synthetic
CNC-01,7,36.0,2.504678803131162,6.413687779749238,49.715320725212905,27.59525906465413,18.093989317085217,56.367899725227325,274,cmapss_proxy_synthetic
CNC-01,8,42.0,2.4732323824700604,6.501118521980938,51.32287788803532,29.83151153950353,18.00054652106513,56.39013005978111,273,cmapss_proxy_synthetic
CNC-01,9,48.0,2.494543692145406,6.677319534476785,49.24525435503891,29.34847487513268,,56.42834446497198,272,cmapss_proxy_synthetic
CNC-01,10,54.0,2.433312312039989,6.7714188175113685,50.33321780470046,28.465103901624076,18.218992194120517,55.70676183433657,271,cmapss_proxy_synthetic
CNC-01,11,60.0,2.5562617320471857,6.729673410304071,48.448678243298936,28.863224785324817,18.15635506408293,56.040078499101135,270,cmapss_proxy_synthetic
CNC-01,12,66.0,2.5464103938947464,6.582124353523825,50.551610555916284,27.853436183724728,18.695556233412095,59.33203437134835,269,cmapss_proxy_synthetic
CNC-01,13,72.0,2.4918999042655994,6.916784069190057,49.92307513442033,28.258699263455817,18.658751260753455,56.80530100758872,268,cmapss_proxy_synthetic
CNC-01,14,78.0,2.5643427022413467,6.893342261969442,48.83878448943138,28.665256019928734,18.205164598832962,55.76543517102458,267,cmapss_proxy_synthetic
CNC-01,15,84.0,2.5122100225545383,6.723937429516377,49.56331520993252,30.13681952218382,18.507296241814085,56.27103177294896,266,cmapss_proxy_synthetic
CNC-01,16,90.0,2.411419220756675,6.631621038175837,49.606698578918476,28.546746096108237,19.30987792284857,58.98227999618323,265,cmapss_proxy_synthetic
CNC-01,17,96.0,2.4939918976788267,6.867685004850558,49.436755456683066,29.591918134449752,18.179594424618763,,264,cmapss_proxy_synthetic
CNC-01,18,102.0,2.3920190449738463,6.797118648935987,52.31562226234647,28.563633274601212,17.82610205778981,58.12591138036207,263,cmapss_proxy_synthetic
CNC-01,19,108.0,2.517439948821551,6.475728090668137,49.54798541961323,29.177558599745982,19.046874323962868,56.76714230587177,262,cmapss_proxy_synthetic
CNC-01,20,114.0,2.4433029952731466,6.740456374509388,49.2497548064251,28.79613756696095,18.758571132105658,58.111067922830884,261,cmapss_proxy_synthetic
CNC-01,21,120.0,2.4259274806470477,6.798400250001134,46.478941225063245,29.586511423657292,18.108545722701955,56.05862098344914,260,cmapss_proxy_synthetic
CNC-01,22,126.0,2.382247984431733,6.563501923108469,48.097837621421036,28.33524712229004,17.5365903856157,56.63048836265525,259,cmapss_proxy_synthetic
CNC-01,23,132.0,2.511098881640452,6.7657228970946095,48.88174716127309,27.388580162501516,,58.580768909495404,258,cmapss_proxy_synthetic
CNC-01,24,138.0,2.4035826878035595,6.4329851051253755,48.13789468764326,27.46796378535979,18.247158939104498,58.3289179119343,257,cmapss_proxy_synthetic
CNC-01,25,144.0,2.375403773027356,6.963518939554443,50.97110873079028,28.096260748234812,18.84550155192488,55.156778020276434,256,cmapss_proxy_synthetic
CNC-01,26,150.0,2.3723966668856766,6.931033368803996,48.592022735998924,27.403703373247396,17.59392655971325,55.24157835031985,255,cmapss_proxy_synthetic
CNC-01,27,156.0,2.427626836138099,6.621727420288582,50.52637505676593,28.703741648588885,18.04449606477951,56.69553504428555,254,cmapss_proxy_synthetic
CNC-01,28,162.0,2.4072770673941584,6.72383532790886,48.59604814350204,,18.390505494268247,59.21510817536783,253,cmapss_proxy_synthetic
CNC-01,29,168.0,2.4025306616390107,6.163883190352214,48.393016463877096,30.15853605737476,16.675694791761497,53.0461756667916,252,cmapss_proxy_synthetic
CNC-01,30,174.0,2.3959348834427456,6.388213573547954,48.041166983623775,26.604232688020733,18.45586477711379,56.496342050127694,251,cmapss_proxy_synthetic
CNC-01,31,180.0,2.511536153948343,6.535497844047426,48.002932196731194,28.134558619918163,17.19605270630696,53.58861163503041,250,cmapss_proxy_synthetic
CNC-01,32,186.0,2.320881742789151,6.362182058356279,50.301174594901276,26.91598718502746,17.952242402839563,54.62764087774455,249,cmapss_proxy_synthetic
CNC-01,33,192.0,2.3065141010223478,6.6885840725505155,44.31613245584388,27.35015588064135,17.846502810494787,54.88291090757433,248,cmapss_proxy_synthetic
CNC-01,34,198.0,2.2785598452241294,6.916533635747702,44.607419360813246,27.786542845447705,18.241731819220792,54.59659382583231,247,cmapss_proxy_synthetic
CNC-01,35,204.0,2.3758160663724754,6.275352771798988,46.54513368864968,25.620360329612613,17.89922047237415,54.21375631060401,246,cmapss_proxy_synthetic
CNC-01,36,210.0,2.40767367918922,6.319360522972799,47.19159084835343,27.682082266281654,16.267005107381678,54.909976961516826,245,cmapss_proxy_synthetic
CNC-01,37,216.0,2.31375883120551,6.506786232457673,48.0147988307748,28.99536240717388,17.07975934488705,53.81956973310224,244,cmapss_proxy_synthetic
CNC-01,38,222.0,2.2577405244298423,6.753775365919264,47.56091305108344,26.934806657637992,17.535139461108887,52.09703720330172,243,cmapss_proxy_synthetic
CNC-01,39,228.0,2.255865991472863,6.180692536477248,46.19438254758451,27.458377982129527,17.316718133284134,55.608504813439005,242,cmapss_proxy_synthetic
CNC-01,40,234.0,2.359825354425125,6.447962233820731,48.09365272140375,28.03180949210871,17.64626917148251,55.381414392694055,241,cmapss_proxy_synthetic
CNC-01,41,240.0,2.365031393306626,6.735971553080112,47.99975821335362,26.970752479415818,17.78610770182147,55.35519924969023,240,cmapss_proxy_synthetic
CNC-01,42,246.0,2.34995614082175,6.041385542889503,46.683798917956956,26.565443049344893,17.66528608562014,51.25531245786706,239,cmapss_proxy_synthetic
CNC-01,43,252.0,2.2630727421488803,6.097732260593975,47.72071159186446,25.094641715263883,17.203468805992284,54.134454070383484,238,cmapss_proxy_synthetic
CNC-01,44,258.0,2.328658606796666,6.250550811395667,46.656785593407854,27.505731142944718,16.31034930694279,54.611765578415216,237,cmapss_proxy_synthetic
CNC-01,45,264.0,2.3221094409239154,6.218941593641442,45.399895956931054,26.841831362549893,17.05545464587358,,236,cmapss_proxy_synthetic
CNC-01,46,270.0,2.3320223362141337,6.468029795205035,47.17259036649769,26.064646001096225,17.526209372624304,53.26091035879962,235,cmapss_proxy_synthetic
CNC-01,47,276.0,2.382377849187463,6.347737838351833,46.30173080176045,27.00905059562252,16.71841435489779,52.95024122533256,234,cmapss_proxy_synthetic
CNC-01,48,282.0,2.3398614274408596,5.947560652693929,46.13474259601759,26.408943298617906,17.659927888246397,56.093554198518746,233,cmapss_proxy_synthetic
CNC-01,49,288.0,2.3775151690308856,6.38935148926948,48.25999829738939,26.46104070420994,17.827176030636846,56.15771510807303,232,cmapss_proxy_synthetic
CNC-01,50,294.0,2.33908144620704,6.17356459390191,42.63157683014551,27.429013774370226,17.42845210445571,50.18138403403246,231,cmapss_proxy_synthetic
CNC-01,51,300.0,2.3612890565519686,6.534259609536091,44.15687363785458,25.819320148679743,15.73432964636784,57.00529321180638,230,cmapss_proxy_synthetic
CNC-01,52,306.0,2.3928139939478763,6.165172835900641,44.54182036835428,27.855982461456346,16.732742885854062,51.36074073575925,229,cmapss_proxy_synthetic
